Documento de compras;Item;Centro;Recebimto.concluído;Ano doc.material;Ctg.de histórico de pedido;Doc.material;Item doc.material;Criado por;Referência;Tipo de movimento;Data de lançamento;Quantidade;UM pedido;Qtd.em UPP;Unid.prç.pedido;Montante em MI;Moeda interna;Montante;Moeda;Texto breve;Valor compensação EM/EF em moeda interna;Estq.bloq.EM UMP;Qtd.EM/EstqBlq.UMPP;Exercício documento referência;Documento referência;Item doc.referência;Valor da fatura;Material;Estorno EM apesar EF;Quantidade;Tipo de operação;Data do documento;Data de entrada;Cód.débito/crédito;Código de imposto;Ctg.doc.compras;EM/EF valor compensação em ME;Valor fatura em ME
4500569899;60;2561;;2025;Q;5501285222;1;IAREGO;55;;07/01/2025;428.707,120;PEÇ;428.707,120;PEÇ;428.707,12;BRL;428.707,12;BRL;ALUGUEL DE IMOVEL;428.707,12;0,000;0,000;2025;5002359785;1;428.707,12;400003;;0,000;2;02/01/2025;07/01/2025;S;S1;F;428.707,12;428.707,12
4500569899;60;2561;;2025;Q;5501310702;1;IAREGO;57;;17/03/2025;428.707,120;PEÇ;428.707,120;PEÇ;428.707,12;BRL;428.707,12;BRL;ALUGUEL DE IMOVEL;428.707,12;0,000;0,000;2025;5002385729;1;428.707,12;400003;;0,000;2;03/03/2025;17/03/2025;S;S1;F;428.707,12;428.707,12
4500569899;60;2561;;2025;Q;5501318648;1;RPA08CPG;58;;07/04/2025;428.707,120;PEÇ;428.707,120;PEÇ;428.707,12;BRL;428.707,12;BRL;ALUGUEL DE IMOVEL;428.707,12;0,000;0,000;2025;5002394799;1;428.707,12;400003;;0,000;2;01/04/2025;07/04/2025;S;S1;F;428.707,12;428.707,12
4500569899;60;2561;;2025;Q;5501330781;1;IAREGO;59;;12/05/2025;428.707,120;PEÇ;428.707,120;PEÇ;428.707,12;BRL;428.707,12;BRL;ALUGUEL DE IMOVEL;428.707,12;0,000;0,000;2025;5002406925;1;428.707,12;400003;;0,000;2;02/05/2025;12/05/2025;S;S1;F;428.707,12;428.707,12
4500569899;60;2561;;2025;Q;5501364618;1;IAREGO;62;;08/08/2025;314.554,340;PEÇ;314.554,340;PEÇ;314.554,34;BRL;314.554,34;BRL;ALUGUEL DE IMOVEL;314.554,34;0,000;0,000;2025;5002441558;1;314.554,34;400003;;0,000;2;01/08/2025;08/08/2025;S;S1;F;314.554,34;314.554,34
4500569899;70;2561;;2025;Q;5501296242;1;RPA08CPG;56;;05/02/2025;428.707,120;PEÇ;428.707,120;PEÇ;428.707,12;BRL;428.707,12;BRL;ALUGUEL DE IMOVEL;428.707,12;0,000;0,000;2025;5002371316;1;428.707,12;400003;;0,000;2;03/02/2025;05/02/2025;S;S1;F;428.707,12;428.707,12
4500569899;70;2561;;2025;Q;5501340398;2;RFERNAN;60;;06/06/2025;428.707,120;PEÇ;428.707,120;PEÇ;428.707,12;BRL;428.707,12;BRL;ALUGUEL DE IMOVEL;428.707,12;0,000;0,000;2025;5002415648;1;428.707,12;400003;;0,000;2;02/06/2025;06/06/2025;S;S1;F;428.707,12;428.707,12
4500569899;70;2561;;2025;Q;5501353806;3;IAREGO;61;;10/07/2025;428.707,120;PEÇ;428.707,120;PEÇ;428.707,12;BRL;428.707,12;BRL;ALUGUEL DE IMOVEL;428.707,12;0,000;0,000;2025;5002430222;1;428.707,12;400003;;0,000;2;01/07/2025;10/07/2025;S;S1;F;428.707,12;428.707,12
4500569899;70;2561;;2025;Q;5501364618;2;IAREGO;62;;08/08/2025;137.094,120;PEÇ;137.094,120;PEÇ;137.094,12;BRL;137.094,12;BRL;ALUGUEL DE IMOVEL;137.094,12;0,000;0,000;2025;5002441558;2;137.094,12;400003;;0,000;2;01/08/2025;08/08/2025;S;S1;F;137.094,12;137.094,12
4500569899;70;2561;;2025;Q;5501366798;5;RFERNAN;61300;;14/08/2025;22.941,340;PEÇ;22.941,340;PEÇ;22.941,34;BRL;22.941,34;BRL;ALUGUEL DE IMOVEL;22.941,34;0,000;0,000;2025;5002443146;1;22.941,34;400003;;0,000;2;01/07/2025;14/08/2025;S;S1;F;22.941,34;22.941,34
